file	category	kind	verdict	format	pieces	distinct_prefabs	footprint	top_tier	top_tier_pieces	missing_pct	stations	portals	beds	snap_points	ih_discarded_rows	creator	licence	role	fit	note
altar.blueprint	flavour	setpiece	PLACES_CLEAN	blueprint	527	27	20.5x20.1x15.3	swamp	8	0.0	0	0	0	8	0	Olivanderr	none stated	open-air altar / assembly bowl, 21 x 20 m, 88 seats	festival ground, any biome	527 pieces; 8 snap points; stampable despite the size
aodi-skardvakt-the-black-tower.blueprint	outpost	module	PLACES_CLEAN	blueprint	358	7	9.3x9.3x10.5	mistlands	355	0.0	0	0	0	0	8	Aodi	none stated	black-marble watchtower, 9 x 9 x 11 m, bonfire on top	Mistlands watch line; signal-fire chain	358 pieces from only 7 prefabs -- cheap and legible. 8 #Terrain rows discarded, so flatten the ground first
arty-dragontavern.blueprint	flavour	setpiece	PLACES_WITH_GAPS	blueprint	6852	51	42.8x50.6x13.0	swamp	111	0.1	0	0	0	0	0	Arty	none stated	dragon-themed tavern	settlement centre	6852 pieces; 188 signs + 200 itemstands; needs mod rk_brazier
arty-magetower.blueprint	flavour	setpiece	PLACES_WITH_GAPS	blueprint	4948	56	36.7x33.4x44.1	mistlands	76	0.36	1	2	0	0	0	Arty	none stated	mage tower, 37 x 33 x 44 m	Mistlands landmark	4948 pieces; 558 itemstands; 0.36% missing incl. mod pieces
berserkers-keep.vbuild	base	setpiece	PLACES_CLEAN	vbuild	10686	55	56.1x45.1x24.0	plains	4	0.0	52	0	4	0	0		none stated	keep with 52 stations and 2515 wall pieces	Plains stronghold	10686 pieces; legacy .vbuild, so no scale and no data payloads
bridge.vbuild	bridge	setpiece	PLACES_CLEAN	vbuild	873	18	39.4x57.5x12.4	swamp	47	0.0	0	0	0	0	0		none stated	timber trestle bridge, 39 x 58 m span	Black Forest river crossing	873 pieces; 105 itemstands as railing decor
citadel.blueprint	base	setpiece	PLACES_CLEAN	blueprint	33655	43	146.6x117.2x126.5	mistlands	32192	0.0	0	0	0	1	0	Пипкин	none stated	citadel, 147 x 117 x 127 m	reference only -- too big to site	33655 pieces; 361 unlit castle torches
cozy_house.blueprint	base	setpiece	PLACES_CLEAN	blueprint	6034	104	52.4x52.5x24.1	mistlands	332	0.0	37	0	9	0	0	Пипкин	none stated	large cosy homestead, 37 stations	Plains / pre-yagluth -- already selected	6034 pieces
creator-looney-swamp-starter-home.blueprint	base	module	PLACES_CLEAN	blueprint	218	39	16.7x15.3x15.0	meadows	218	0.0	12	0	2	7	0	Creator	none stated	core-wood stilt house, 17 x 15 m	Swamp / pre-bonemass forward camp	218 pieces, PURE Meadows-tier materials, 7 snap points
deardly-casa-drly.blueprint	base	setpiece	PLACES_CLEAN	blueprint	1901	129	31.2x29.7x13.0	ashlands	1418	0.0	37	0	1	1	0	Deardly	none stated	ashwood villa	Ashlands / pre-fader -- already selected	1901 pieces
dock.blueprint	dock	setpiece	PLACES_CLEAN	blueprint	2036	49	42.2x29.0x23.5	blackforest	275	0.0	0	0	0	8	0	Olivanderr	none stated	harbour with warehouse, 42 x 29 m	any coast -- already selected twice	2036 pieces; 8 snap points
drake-lighthouse.blueprint	flavour	module	PLACES_CLEAN	blueprint	1255	24	14.1x14.1x48.0	mistlands	1	0.0	0	0	0	0	0	Drake	none stated	lighthouse, 14 x 14 x 48 m	headland navigation landmark, any coast	1255 pieces but only a 14 m footprint -- stampable on any cape
forge (copy 1).blueprint	production	setpiece	PLACES_CLEAN	blueprint	2968	88	31.1x26.2x21.0	ashlands	1140	0.0	18	0	0	8	0	Olivanderr	none stated	byte-identical duplicate of forge.blueprint	-	deduplicate; do not select by this name
forge.blueprint	production	setpiece	PLACES_CLEAN	blueprint	2968	88	31.1x26.2x21.0	ashlands	1140	0.0	18	0	0	8	0	Olivanderr	none stated	walled forge yard, 31 x 26 m, 18 stations	ore-country smelting yard	2968 pieces; 8 snap points
fortress.blueprint	defence	setpiece	PLACES_CLEAN	blueprint	10626	103	76.3x51.1x34.4	ashlands	779	0.0	25	0	4	6	0	Olivanderr	none stated	fortress, 76 x 51 x 34 m, 4 beds	Plains / Mistlands strongpoint	10626 pieces; 6 snap points
fox-0123456.blueprint	base	setpiece	PLACES_CLEAN	blueprint	1229	58	47.4x38.6x12.0	meadows	1229	0.0	24	4	1	0	0	Fox-	none stated	meadow homestead with 4 portals	Meadows / pre-elder -- already selected	1229 pieces, ALL of them Meadows-tier -- the only fully tier-1 build of over a thousand pieces in the corpus
gnome_house.blueprint	base	exploit	EXPLOIT/PLACES_WITH_GAPS	blueprint	2329	100	37.0x37.5x10152.4	ashlands	18	0.09	38	7	2	0	1		none stated	byte-identical to 14464-Valheimian	nowhere	loot payload under a misleading name
god-2.blueprint	outpost	module	PLACES_CLEAN	blueprint	702	22	9.4x9.7x21.5	swamp	74	0.0	0	0	0	8	0	God	none stated	stone watchtower, 9 x 10 x 22 m	Black Forest / Swamp watch line	702 pieces; 8 snap points; stone + woodiron only
god-22.blueprint	outpost	module	PLACES_CLEAN	blueprint	836	24	12.0x12.0x23.0	swamp	74	0.0	0	0	0	8	0	God	none stated	stone watchtower, wider variant, 12 x 12 x 23 m	Black Forest / Swamp watch line	836 pieces; sibling of god-2
god-3.blueprint	outpost	module	PLACES_CLEAN	blueprint	1518	21	16.2x16.5x18.5	mistlands	16	0.0	0	0	4	28	0	God	none stated	stone tower barracks, 16 x 17 x 19 m, 4 beds	forward rest stop with beds	1518 pieces; 28 snap points -- the most snap-friendly file in the corpus
god-house33.blueprint	base	setpiece	PLACES_CLEAN	blueprint	2949	80	29.7x29.1x18.0	mistlands	28	0.0	21	0	1	0	1	God	none stated	manor, 30 x 47 m	Mistlands settlement	2949 pieces; 1 discarded #Terrain row
god-o.blueprint	defence	module	PLACES_CLEAN	blueprint	194	7	7.0x5.0x10.0	blackforest	150	0.0	0	0	0	2	0	God	none stated	stone gate arch, 7 x 5 x 10 m	palisade gateway; road choke point	194 pieces from 7 prefabs -- the cheapest gatehouse available
god-ponte-plus.blueprint	bridge	module	PLACES_CLEAN	blueprint	883	8	7.9x27.1x19.0	swamp	133	0.0	0	0	0	2	2	God	none stated	stone-and-iron bridge, 27 m span, 8 x 27 x 19 m	Swamp / Mountain ravine crossing	883 pieces from 8 prefabs; 2 snap points; 2 #Terrain rows discarded
god-portaaoo.blueprint	defence	setpiece	PLACES_CLEAN	blueprint	2191	28	36.0x12.0x23.0	mistlands	4	0.0	0	0	0	4	0	God	none stated	monumental stone gatehouse, 36 x 12 x 23 m	settlement main gate -- already selected in deepnorth-sandbox as sandbox-portal-hub	2191 pieces, zero beds, zero stations. Filed as a base elsewhere; 'porta' is the clue -- it is a GATE, not a dwelling, and wants something habitable beside it
god-shadowstone-fortress.blueprint	defence	setpiece	PLACES_CLEAN	blueprint	8283	86	135.8x129.4x37.2	mistlands	2	0.0	25	3	15	0	1	God	none stated	fortress, 136 x 129 m, 15 beds, 1894 wall pieces	Mistlands stronghold	8283 pieces; 464 signs + 448 itemstands; 1 discarded row
god-test.blueprint	defence	setpiece	PLACES_CLEAN	blueprint	3356	29	28.6x27.3x36.3	swamp	374	0.0	0	0	0	0	0	God	none stated	stone keep, 29 x 27 x 36 m	Swamp / Mountain strongpoint	3356 pieces despite the throwaway name
gold_castle.blueprint	base	setpiece	PLACES_CLEAN	blueprint	18036	57	64.4x73.2x83.3	mistlands	12340	0.0	2177	0	0	0	0	Пипкин	none stated	castle, 64 x 73 x 83 m	reference only	18036 pieces, of which 2177 are blackforge_ext1 anvils used as metal wall cladding -- a ZDO hazard AND an unintended crafting-level bonus
halvar-master-refinery.blueprint	production	module	PLACES_CLEAN	blueprint	917	51	22.3x23.9x10.6	mistlands	14	0.0	20	0	0	0	0	Halvar	none stated	smelting and refinery yard, 22 x 24 m, 20 stations	ore country -- Black Forest copper or Mountain silver	917 pieces; author's own note says '10 x 7'
hiccup-simplewoodbeambridge.blueprint	bridge	module	PLACES_CLEAN	blueprint	196	13	38.9x36.8x7.4	meadows	196	0.0	1	0	0	0	0	Hiccup	none stated	wood beam bridge, 39 x 37 m diagonal span	Meadows / Black Forest stream crossing	196 pieces, PURE Meadows-tier -- placeable on day one
jaik-mistvale-keep.blueprint	base	setpiece	PLACES_CLEAN	blueprint	3472	75	27.9x26.8x48.0	mistlands	401	0.0	12	1	7	0	0	Jaik	none stated	keep, 28 x 27 x 48 m, 1595 wall pieces	Mountain / pre-moder -- already selected	3472 pieces
long-bridge.blueprint	bridge	setpiece	PLACES_CLEAN	blueprint	814	14	89.3x41.6x18.8	ashlands	352	0.0	0	0	0	8	0	Cooties	none stated	ashwood long bridge, 89 m span	Ashlands / Deep North crossing	814 pieces; 8 snap points; needs ashwood
magic-tower.blueprint	flavour	setpiece	PLACES_CLEAN	blueprint	5895	20	17.4x17.4x36.8	ashlands	1021	0.0	0	0	0	6	0	Olivanderr	none stated	wizard tower, 17 x 17 x 37 m	Mistlands landmark	5895 pieces of which 1853 are mist torches -- SEVERE ZDO hazard
meadhall.blueprint	base	setpiece	PLACES_WITH_GAPS	blueprint	20213	181	89.4x89.1x62.3	ashlands	5148	0.01	51	2	1	7	0	Olivanderr	none stated	great mead hall, 89 x 89 x 62 m	capital settlement	20213 pieces; 360 itemstands; 0.01% missing
ragnar-warehouse.blueprint	production	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- warehouse	-	re-download needed
s-ren-dockhouse.blueprint	dock	setpiece	PLACES_CLEAN	blueprint	1225	47	35.8x42.8x19.5	swamp	18	0.0	10	0	0	0	0	Sören	none stated	harbour with signal fire, 36 x 43 m, berths 4-6 longships	sheltered bay, any biome but Plains per author	1225 pieces; author's note: 'Dock with Signal Fire. 4-6 Big Ships.'
salty-dick-cottage-final.blueprint	base	module	PLACES_CLEAN	blueprint	877	47	25.7x23.1x16.0	mistlands	20	0.0	6	0	0	0	0	Salty Dick	none stated	cottage, 26 x 23 m	Meadows / Black Forest village	877 pieces; intact only in the bp_old copy
salty-dick-mordach-castle-final.blueprint	base	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- castle	-	re-download needed
salty-dick-tower-test.blueprint	outpost	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- tower	-	re-download needed
serpent.blueprint	flavour	empty	EMPTY	blueprint	0	0	0.0x0.0x0.0	meadows	0	0.0	0	0	0	0	0		none stated	0-byte -- serpent sculpture	-	re-download needed
shop.blueprint	flavour	setpiece	PLACES_WITH_GAPS	blueprint	4131	174	51.3x53.8x25.4	ashlands	493	0.61	34	0	0	4	0	Olivanderr	none stated	market hall, 51 x 54 m, 163 itemstands	trader settlement	4131 pieces; 0.61% missing, mostly mod-only decor
skybound.blueprint	base	setpiece	PLACES_CLEAN	blueprint	3702	95	15.1x50.0x35.2	ashlands	548	0.0	13	3	1	4	0	Olivanderr	none stated	vertical ashwood complex, 15 x 50 x 35 m	cliff-face or skybridge site	3702 pieces; unusually narrow footprint for its height
small_long_house.blueprint	base	setpiece	PLACES_CLEAN	blueprint	1444	49	50.2x33.6x15.0	blackforest	322	0.0	5	0	4	0	0	Пипкин	none stated	longhouse, 50 x 34 m, 4 beds	Meadows / pre-eikthyr -- already selected	1444 pieces
smallstarthome.blueprint	base	module	PLACES_CLEAN	blueprint	1013	88	22.3x16.0x11.0	mistlands	4	0.0	20	0	1	0	0	Хельс	none stated	starter home, 22 x 16 m	Meadows starter alternative	1013 pieces
speeds-bridge2.blueprint	bridge	module	PLACES_CLEAN	blueprint	63	3	4.0x25.9x2.4	swamp	32	0.0	0	0	0	0	0	Peeds	none stated	single-span footbridge, 26 m, 4 m wide	ANY ravine or stream, stamp as often as needed	63 pieces from 3 prefabs -- the most repeatable file in the corpus
vcastle.blueprint	base	setpiece	PLACES_CLEAN	blueprint	28297	98	143.6x162.1x135.2	mistlands	20641	0.0	3	0	8	0	0	Пипкин	none stated	castle, 144 x 162 x 135 m	reference only	28297 pieces; 102 Pickable_DragonEgg hand out free progression
wagon-camp.blueprint	outpost	module	PLACES_CLEAN	blueprint	160	35	14.3x10.0x5.3	mistlands	22	0.0	7	0	1	7	0	Cooties	none stated	trader wagon camp, 14 x 10 x 5 m, bed + crates	roadside rest stop -- already selected pre-kall	160 pieces; 7 snap points; the best rest-stop stamp available
you-died-ocean-base.blueprint	portal	setpiece	PLACES_CLEAN	blueprint	3400	137	60.4x64.9x26.0	ashlands	1386	0.0	35	14	2	0	0	YoU DiEd	none stated	ocean platform with 14 portals	portal hub -- teleportall is ON, so this is unusually valuable here	3400 pieces; 14 portals is 3x any other file
