name	source_name	category	kind	verdict	resolvable	metadata	pieces	footprint	top_tier	format	creator	licence	body	origin	origins	sha256	role	fit	gaps
twotwohouse.blueprint	twotwohouse.blueprint	base	module	PLACES_CLEAN	True	curated	273	12.8x14.1x7.1	meadows(273)	blueprint	Raimod	AGPL-3.0	reference	RickardAndreasAgren/ValheimBlueprintCruncher	RickardAndreasAgren/ValheimBlueprintCruncher	ae8cc062ac07d7b58b6d8c0344e72fd0700d1b2c7465dd44c307cc8366f055a7	two-by-two cottage, 13 x 14 x 7 m, 273 pieces	Meadows village filler; pure tier-1	
hs_blackforest_mister_basestart_simple.blueprint	hs_blackforest_mister_basestart_simple.blueprint	base	module	PLACES_CLEAN	True	derived	270	16.3x15.0x6.0	meadows(270)	blueprint	Mister	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	6af1d71eee98c3fd0563702a448358998970f5b67fadfe7fec77551638ab6247	270 pieces, 39 prefabs, 16.3x15.0x6.0 m, 12 stations, 1 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	34 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_house11.blueprint	PuP_house11.blueprint	base	module	PLACES_CLEAN	True	curated	266	13.3x9.7x11.0	ashlands(8)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	8460b7e61ce330186a40eec9ba3e1306865e295a53881d80972fefcd8c5f2376	log cottage, 13 x 10 m	Black Forest village filler	
hs_ashlands_madzobuild_ashlandcamp.blueprint	hs_ashlands_madzobuild_ashlandcamp.blueprint	base	module	PLACES_CLEAN	True	derived	266	17.0x17.0x7.0	ashlands(186)	blueprint	Madzobuild	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	5e0cda612de5f8240ee5ae1d519ea68ef1de8d23f03d180dc29b5caa459f281d	266 pieces, 47 prefabs, 17.0x17.0x7.0 m, 4 stations, 1 beds, 1 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	36 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_mistlands_madzobuild_blackeitrrefinery.blueprint	hs_mistlands_madzobuild_blackeitrrefinery.blueprint	base	module	PLACES_CLEAN	True	derived	244	10.0x8.0x7.6	mistlands(243)	blueprint	Madzobuild	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	3328748314caad1509f6b0fef0ec8ed6c6996efe625b583a5af82fe816932321	244 pieces, 10 prefabs, 10.0x8.0x7.6 m, 1 stations, 0 beds, 0 portals	source biome tag: mistlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement	23 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_house1.blueprint	PuP_house1.blueprint	base	module	PLACES_CLEAN	True	curated	238	9.5x7.7x8.3	ashlands(40)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	576fd5c19bf26e4db3dc276ff98dd9f5b956d95cbb9a6def3b133e23cde6e591	two-storey cottage, 10 x 8 m	Meadows / Black Forest village filler	
PuP_house6.blueprint	PuP_house6.blueprint	base	module	PLACES_CLEAN	True	curated	230	12.1x9.2x8.1	ashlands(64)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	bc5f107fed3c8d9589a67fd8f02291449bc79b833c10f2d6f274bcc5bc089218	cottage with balcony, 12 x 9 m	Meadows village filler	
PuP_house10.blueprint	PuP_house10.blueprint	base	module	PLACES_CLEAN	True	curated	225	19.1x15.5x9.3	mistlands(8)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	45cc03f7ff2ef13d7d4abae8d172fc2b1892ebfbe55d1ad535f0984975d3710c	wide cottage with porch, 19 x 16 m	Meadows village filler	
creator-looney-swamp-starter-home.blueprint	creator-looney-swamp-starter-home.blueprint	base	module	PLACES_CLEAN	True	curated	218	16.7x15.3x15.0	meadows(218)	blueprint	Creator	none stated	reference	fleet corpus	fleet corpus	6421f91354f582b48879b36794680e74e54b4b874dfc6e2182dae80044c09d39	core-wood stilt house, 17 x 15 m	Swamp / pre-bonemass forward camp	
PuP_house12.blueprint	PuP_house12.blueprint	base	module	PLACES_CLEAN	True	curated	216	11.2x8.8x5.7	ashlands(24)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	671e72fd4d7696ba0b87e545e56a7f9c0aebafb7834192efd9339ce38052af8f	small cottage, 11 x 9 m	Meadows village filler	
hs_blackforest_kin_01_woodhouse.blueprint	hs_blackforest_kin_01_woodhouse.blueprint	base	module	PLACES_CLEAN	True	derived	216	11.5x7.5x6.8	meadows(216)	blueprint	kinesthesia	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	19d4b35a177f0e69c096a35da974968588e3c1563e9955909821a1329de626e9	216 pieces, 28 prefabs, 11.5x7.5x6.8 m, 4 stations, 1 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	23 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_tester_meadows_log_cabin.blueprint	hs_blackforest_tester_meadows_log_cabin.blueprint	base	module	PLACES_CLEAN	True	derived	207	8.0x16.8x8.2	meadows(207)	blueprint	Tester	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	362fa6df7ca5b324d211663f30a89667b07c931380167e035e34c450a70272b9	207 pieces, 20 prefabs, 8.0x16.8x8.2 m, 11 stations, 2 beds, 1 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	28 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_house3.blueprint	PuP_house3.blueprint	base	module	PLACES_CLEAN	True	curated	201	13.3x16.2x6.3	ashlands(10)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	ab4faf7691c7b0dcb39dec3267a47dbbbec38fc6d0e6788d659c11303488b1ab	long low cottage, 13 x 16 m	Meadows village filler	
PiNoKi_Longhouse.blueprint	PiNoKi_Longhouse.blueprint	base	module	PLACES_CLEAN	True	curated	182	15.6x11.4x6.1	meadows(182)	blueprint	PiNoKi	MIT	committed	constXife/bygd	constXife/bygd	3f75777217db23870b7abdd91cadb96903d264d1de108e89d0edca5acd6f3a17	small longhouse, 16 x 11 x 6 m, 182 pieces	Meadows / Black Forest village filler; pure tier-1 materials	
PuP_house4.blueprint	PuP_house4.blueprint	base	module	PLACES_CLEAN	True	curated	178	9.6x10.0x7.6	mistlands(29)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	e3e6e42ac2b7c4977d7b8cdd5779bb2c0d633585822f4917d7cc481ba962df96	cottage, 10 x 10 m	Meadows / Black Forest village filler	
PuP_house9.blueprint	PuP_house9.blueprint	base	module	PLACES_CLEAN	True	curated	167	9.9x9.9x6.8	ashlands(2)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	fc970d234b382812390f710a644af52f402040ec057cfdb7299b7aba3165a685	hut, 10 x 10 m	mine-head shelter	
PuP_house8.blueprint	PuP_house8.blueprint	base	module	PLACES_CLEAN	True	curated	157	9.7x8.6x5.3	ashlands(8)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	6deaae408b0c28bfdc7b8afbe0f28b4391f689d2312eacee0d7196b7907df1bb	log hut, 10 x 9 m	Black Forest hunting camp	
Rocket Raccoon_Quick_House.blueprint	Rocket Raccoon_Quick_House.blueprint	base	module	PLACES_WITH_GAPS	True	derived	157	10.1x10.1x9.0	meadows(157)	blueprint	Rocket Raccoon	none stated	reference	mcarvall/Midgard-Valheim-Server	mcarvall/Midgard-Valheim-Server	56ef5e1e6f73c1156f34a6b6146efdcb22ff6e7e64d82fa2cef5bc1d4d82c42b	157 pieces, 20 prefabs, 10.1x10.1x9.0 m, 2 stations, 2 beds, 0 portals	source biome tag: none; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	mod-supplied: thin_wood_pole_2 (OdinArchitect)
PuP_house7.blueprint	PuP_house7.blueprint	base	module	PLACES_CLEAN	True	curated	152	7.8x10.4x8.7	ashlands(4)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	24deeb4c8553dea2a5cfbe6bd891dd8bf78f95f46da47023d3547a2d77cf84db	tiny cottage, 8 x 10 m	hunting camp / rest stop shell	
hs_ashlands_flam_travel_cabin_1.blueprint	hs_ashlands_flam_travel_cabin_1.blueprint	base	module	PLACES_CLEAN	True	derived	146	8.8x9.5x7.2	ashlands(84)	blueprint	Atticus	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	95b6b67b28f31bc80c3878763077327ec0b7985460b4f2aa212955a332d5fa45	146 pieces, 32 prefabs, 8.8x9.5x7.2 m, 1 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	21 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_aodi_quickrest_sleep_module.blueprint	hs_blackforest_aodi_quickrest_sleep_module.blueprint	base	module	PLACES_CLEAN	True	derived	118	4.3x6.2x4.2	meadows(118)	blueprint	Aodi	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	aaa0453dc521b8d8ef7fab490d7df60f8aa9b1cd224a5ce86623177bd7d9b9f1	118 pieces, 25 prefabs, 4.3x6.2x4.2 m, 1 stations, 1 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	18 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_kitchenbench_brigames.blueprint	hs_blackforest_kitchenbench_brigames.blueprint	base	module	PLACES_CLEAN	True	derived	110	5.0x5.6x2.1	meadows(110)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	6ecd71a96ec09e82c13492ca53132db7409e5def368170076d3ede9facc17f2e	110 pieces, 8 prefabs, 5.0x5.6x2.1 m, 2 stations, 0 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	16 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_meadows_hobbit_repairhut.blueprint	hs_meadows_hobbit_repairhut.blueprint	base	module	PLACES_CLEAN	True	derived	62	8.0x5.2x3.8	meadows(62)	blueprint	Modestypooh	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	18d20e6d4b058ea382f193a43d3f46a5f66e5937e68569c838b4703a43f9f380	62 pieces, 14 prefabs, 8.0x5.2x3.8 m, 1 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	18 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_mistlands_madzobuild_simpleeitrrefinery.blueprint	hs_mistlands_madzobuild_simpleeitrrefinery.blueprint	base	module	PLACES_CLEAN	True	derived	59	8.4x5.3x4.5	mistlands(1)	blueprint	Madzobuild	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	35675877680c915e0b7c3c133986735eff68e7bbc1a9ea40fbc5721573fd4516	59 pieces, 11 prefabs, 8.4x5.3x4.5 m, 1 stations, 0 beds, 0 portals	source biome tag: mistlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement	18 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_spatub_brigames.blueprint	hs_ashlands_spatub_brigames.blueprint	base	module	PLACES_CLEAN	True	derived	54	4.2x4.0x2.0	ashlands(38)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	84ba35af754e6ab8555a7e56b0d770f01423020798911d17c9551ecf025909a9	54 pieces, 12 prefabs, 4.2x4.0x2.0 m, 1 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	16 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_blackforest_kitchensink_brigames.blueprint	hs_blackforest_kitchensink_brigames.blueprint	base	module	PLACES_CLEAN	True	derived	52	1.7x3.3x1.4	meadows(52)	blueprint	Bri Games	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	abb6fdfc4fa03249370a62210747bdfb30260ce2cbdc2489163c6ce2db2e4321	52 pieces, 9 prefabs, 1.7x3.3x1.4 m, 1 stations, 0 beds, 0 portals	source biome tag: blackforest; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	12 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_meadows_arkitek_repair_shack.blueprint	hs_meadows_arkitek_repair_shack.blueprint	base	module	PLACES_CLEAN	True	derived	50	3.0x4.0x4.0	meadows(50)	blueprint	Arkitek	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	6ef01a79ad2f34a019d31187202b9040a6bb35e3097dc85ce1b2d35bb1f8c2c5	50 pieces, 14 prefabs, 3.0x4.0x4.0 m, 1 stations, 0 beds, 0 portals	source biome tag: meadows; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	12 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
Rocket Raccoon_Beliche.blueprint	Rocket Raccoon_Beliche.blueprint	base	module	PLACES_WITH_GAPS	True	derived	6	2.3x3.1x1.6	meadows(6)	blueprint	Rocket Raccoon	none stated	reference	mcarvall/Midgard-Valheim-Server	mcarvall/Midgard-Valheim-Server	5acd3a3fe089579ac16d1f0b6e4afcbef10fbb37951e9971beabc27db2aa212d	6 pieces, 2 prefabs, 2.3x3.1x1.6 m, 0 stations, 2 beds, 0 portals	source biome tag: none; material tier: meadows. DERIVED from the measurements in `role` -- not a curated judgement	mod-supplied: thin_wood_pole_2 (OdinArchitect)
citadel.blueprint	citadel.blueprint	base	setpiece	PLACES_CLEAN	True	curated	33655	146.6x117.2x126.5	mistlands(32192)	blueprint	Пипкин	none stated	reference	fleet corpus	fleet corpus	830c1a483b8c0006dd3149b0ac2d078a3ecc9d0bc5862bee846fef6046e144c6	citadel, 147 x 117 x 127 m	reference only -- too big to site	ZDO spam: CastleKit_metal_groundtorch_unlit x361
Пипкин_full_castle.blueprint	Пипкин_full_castle.blueprint	base	setpiece	PLACES_CLEAN	True	curated	32361	191.8x532.1x212.6	ashlands(18607)	blueprint	Пипкин	none stated	reference	offsetkeyz/valheim_mod_sync	offsetkeyz/valheim_mod_sync	d56fa14f05018b5ec574ae9492d0f44908c96412067e7af1337db12e22bca766	castle, 192 x 532 x 213 m, 32361 pieces	reference only -- a 532 m footprint is not siteable	
vcastle.blueprint	vcastle.blueprint	base	setpiece	PLACES_CLEAN	True	curated	28297	143.6x162.1x135.2	mistlands(20641)	blueprint	Пипкин	none stated	reference	fleet corpus	fleet corpus	b04e42b82ddf42d9080813a4bf4e467175e37c5c71d1a3a6704070d07d8486ba	castle, 144 x 162 x 135 m	reference only	
PuP_megaCastle.blueprint	PuP_megaCastle.blueprint	base	setpiece	PLACES_CLEAN	True	curated	25207	208.8x105.3x133.4	ashlands(20520)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	d929fd987a04508e34d90cc8ba8eeb1dfdf5da9684ee1233f5e0d6ef797da302	castle city, 209 x 105 x 133 m	nowhere sensible -- reference only	
meadhall.blueprint	meadhall.blueprint	base	setpiece	PLACES_WITH_GAPS	True	curated	20213	89.4x89.1x62.3	ashlands(5148)	blueprint	Olivanderr	none stated	reference	fleet corpus	fleet corpus	dd32039e6f021334d60d78eece1b4034eff1a6ecf003090227c0442ecad44d7c	great mead hall, 89 x 89 x 62 m	capital settlement	0.01% missing: $custompiece_statueevil_small x2; ZDO spam: itemstand x360
gold_castle.blueprint	gold_castle.blueprint	base	setpiece	PLACES_CLEAN	True	curated	18036	64.4x73.2x83.3	mistlands(12340)	blueprint	Пипкин	none stated	reference	fleet corpus	fleet corpus	7bbf7a878cf577e273230e1f05e548a541c97b2c20200e6997f0ed5b9ed3023b	castle, 64 x 73 x 83 m	reference only	ZDO spam: blackforge_ext1 x2177
hs_ashlands_magne_athelgard_cathedral.blueprint	hs_ashlands_magne_athelgard_cathedral.blueprint	base	setpiece	PLACES_CLEAN	True	derived	17954	61.7x89.9x35.1	ashlands(9240)	blueprint	Magne	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	afb0454c027cc17d889823caa7b508d94e9ac31d04c77e249a5defadfa2aae69	17954 pieces, 96 prefabs, 61.7x89.9x35.1 m, 1 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	250 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
Пипкин_small_castle.blueprint	Пипкин_small_castle.blueprint	base	setpiece	PLACES_CLEAN	True	curated	17628	87.1x74.6x97.3	ashlands(12686)	blueprint	Пипкин	none stated	reference	offsetkeyz/valheim_mod_sync	offsetkeyz/valheim_mod_sync	bd77ff0ad3f4ca0e6607d76b010d30e61a38638f7e9d7e2a4356279130bdb69c	castle, 87 x 75 x 97 m, 17628 pieces	reference only	
berserkers-keep.vbuild	berserkers-keep.vbuild	base	setpiece	PLACES_CLEAN	True	curated	10686	56.1x45.1x24.0	plains(4)	vbuild		none stated	reference	fleet corpus	fleet corpus	58736c1376f397943d379a9910cff10361c3383a0644d30ffb2cf557dd128e0d	keep with 52 stations and 2515 wall pieces	Plains stronghold	
hs_ashlands_castle_blackmarble.blueprint	hs_ashlands_castle_blackmarble.blueprint	base	setpiece	PLACES_CLEAN	True	derived	8036	56.6x78.0x30.2	ashlands(1265)	blueprint	Ivor The Smol	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	017267cfba8d134c1e32a623019bcd81af5be70bf7cd41d196320081915047fa	8036 pieces, 99 prefabs, 56.6x78.0x30.2 m, 8 stations, 2 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	217 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_lionsprideinn2.blueprint	hs_ashlands_lionsprideinn2.blueprint	base	setpiece	PLACES_CLEAN	True	derived	7830	53.0x28.3x20.1	ashlands(544)	blueprint	Balin	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	ae44ca3738d414adb3882a8c233001d1a386ff7c1ae0371e5bfaa7b86e56241f	7830 pieces, 136 prefabs, 53.0x28.3x20.1 m, 11 stations, 3 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	96 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
hs_ashlands_lady_silvergrey_midnighttavern.blueprint	hs_ashlands_lady_silvergrey_midnighttavern.blueprint	base	setpiece	PLACES_CLEAN	True	derived	6797	52.1x32.0x18.2	ashlands(3768)	blueprint	Lady Silvergrey	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	b33a7fbf945143db22ec30e5e42249b9816c488e41f16b4670d63ba0744d90f9	6797 pieces, 202 prefabs, 52.1x32.0x18.2 m, 36 stations, 4 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	106 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
PuP_black_house_full.blueprint	PuP_black_house_full.blueprint	base	setpiece	PLACES_CLEAN	True	curated	6262	40.6x72.5x78.2	ashlands(718)	blueprint	PuP	none stated	reference	fleet corpus	fleet corpus	0cdcee665b7e8f95d14d89850644e819b90ac0fe8f337ba6f085121292b98322	large black-marble manor	Mistlands / pre-queen -- already selected	
hs_ashlands_ulf_the_builder_pyramid_base_final.blueprint	hs_ashlands_ulf_the_builder_pyramid_base_final.blueprint	base	setpiece	PLACES_CLEAN	True	derived	6188	59.4x59.4x34.1	ashlands(296)	blueprint	Ulf The Builder	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	07dd4c3ceda71c6bfa7a600ca242703a830da3a3792e1ca795e4f0b0b44e0d2d	6188 pieces, 114 prefabs, 59.4x59.4x34.1 m, 53 stations, 1 beds, 1 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	169 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
cozy_house.blueprint	cozy_house.blueprint	base	setpiece	PLACES_CLEAN	True	curated	6034	52.4x52.5x24.1	mistlands(332)	blueprint	Пипкин	none stated	reference	fleet corpus	fleet corpus	2e61bf0d2586b89003945c0f662dd9be6c2aee3665ea0b40530defec6be76e7b	large cosy homestead, 37 stations	Plains / pre-yagluth -- already selected	
hs_ashlands_softpea_fantasy_castle.blueprint	hs_ashlands_softpea_fantasy_castle.blueprint	base	setpiece	PLACES_CLEAN	True	derived	5697	43.3x56.3x27.0	ashlands(2597)	blueprint	Softpea	none stated	reference	OverDrive/BiomeBlueprints	OverDrive/BiomeBlueprints	805576179d6dee14c5da90838dac0a1e564e39edd716786f7f2dc37487b1f318	5697 pieces, 122 prefabs, 43.3x56.3x27.0 m, 25 stations, 2 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement	139 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
15643-Valheimian.blueprint	15643-Valheimian.blueprint	base	exploit	EXPLOIT/PLACES_WITH_GAPS	True	curated	5692	60.5x60.3x10102.5	ashlands(830)	blueprint	Азура Тираэцу	none stated	reference	fleet corpus	fleet corpus	76e1fbac1a0ec443a663e6a6e1a85aa5c2fc02c22263050ed5ae222df1a5441b	keep wrapped round 361 loot objects	nowhere -- chest payload	0.54% missing: MS_PressurePlate_BlackMarble x14, MMFrostCannon x8, BasicTurret x8, Thorward x1; 2 terrain rows discarded by Infinity Hammer (#Terrain) -- level the ground by hand, and strip them before the RCON route
brokkr-the-flabellum.blueprint	brokkr-the-flabellum.blueprint	base	setpiece	PLACES_CLEAN	True	curated	5490	59.6x37.8x65.5	mistlands(2)	blueprint	Oosdevforty	none stated	reference	Oosquai/SavheimIV	Oosquai/SavheimIV	337e53fadba4dbe1003d900c263834fc07888d42d687960dbfb1a50664c5f300	tall keep, 60 x 38 x 66 m, 13 stations	Mistlands showpiece	
